これすみ	1923	1923	8549	惟住
これずみ	1923	1923	7052	惟住
これた	1923	1923	8338	是田
これたか	1923	1923	7308	惟高
これたに	1923	1923	8198	是谷
これだ	1923	1923	8749	是田
これだか	1923	1923	8805	惟高
これちか	1923	1923	7128	是近
これつ	1923	1923	7317	是津
これつぐ	1923	1923	7924	是次
これつね	1923	1923	7036	是常
これつね	1923	1923	6627	是恒
これつね	1923	1923	6419	此経
これとう	1923	1923	6377	惟任
これとう	1923	1923	8144	是洞
これとう	1923	1923	8536	是藤
これとき	1923	1923	6848	是時
これとし	1923	1923	7870	是利
これとも	1923	1923	6973	是友
これどう	1923	1923	8361	是洞
これなが	1923	1923	7281	伊永
これなが	1923	1923	6785	惟永
これなが	1923	1923	5717	是永
これなが	1923	1923	7830	是長
これなり	1923	1923	7654	是成
これのぶ	1923	1923	6967	是信
これのり	1923	1923	6876	是則
これひさ	1923	1923	6295	伊久
これひさ	1923	1923	7449	是久
これひら	1923	1923	8020	是平
これひろ	1923	1923	8053	是広
これふじ	1923	1923	8591	是藤
これまさ	1923	1923	6523	是政
これまつ	1923	1923	6539	恒松
これまつ	1923	1923	8596	頃末
これみつ	1923	1923	7361	是光
これむら	1923	1923	7131	惟村
これむら	1923	1923	7699	是村
これもと	1923	1923	7984	是元
これもと	1923	1923	7200	是本
これや	1923	1923	8245	是谷
これやす	1923	1923	6669	惟康
これやす	1923	1923	6988	是安
これやま	1923	1923	6849	是山
これゆき	1923	1923	7533	是行
これよし	1923	1923	7618	是吉
これん	1923	1923	8775	小蓬
ころいし	1923	1923	8319	転石
ころいし	1923	1923	8066	頃石
ころく	1923	1923	8709	古六
ころく	1923	1923	6903	古録
ころく	1923	1923	6395	小六
ころく	1923	1923	6966	小禄
ころく	1923	1923	7094	小緑
ころすえ	1923	1923	7099	頃末
ころはし	1923	1923	7789	頃橋
ころば	1923	1923	8167	木呂場
ころびし	1923	1923	8319	転石
ころめ	1923	1923	8008	衣目
ころめがわ	1923	1923	8255	衣目川
ころもだ	1923	1923	7404	衣田
ころもはら	1923	1923	8003	衣原
ころもや	1923	1923	8234	衣谷
ころやす	1923	1923	6460	頃安
こわ	1923	1923	5229	強
こわくつ	1923	1923	8429	小圷
こわぐち	1923	1923	8020	小和口
こわざき	1923	1923	9729	剛崎
こわし	1923	1923	7186	小鷲
こわし	1923	1923	6461	強
こわせ	1923	1923	6996	小和瀬
こわせ	1923	1923	8195	小早稲
こわせ	1923	1923	7870	小輪瀬
こわせ	1923	1923	7235	強瀬
こわた	1923	1923	8055	古和田
こわた	1923	1923	7698	小渡
こわたに	1923	1923	9734	剛谷
こわたり	1923	1923	7103	古渡
こわたり	1923	1923	9164	虎渡
こわだ	1923	1923	7115	古和田
こわだ	1923	1923	8149	強田
こわだ	1923	1923	8466	木和田
こわや	1923	1923	9734	剛谷
こわや	1923	1923	7615	古和谷
こわり	1923	1923	5845	小割
こわん	1923	1923	6828	小湾
こん	1923	1923	6308	孔
こん	1923	1923	4979	根
こん	1923	1923	6370	権
こんい	1923	1923	7843	紺井
こんおか	1923	1923	8053	近岡
こんかき	1923	1923	7608	紺掻
こんがき	1923	1923	8583	紺掻
こんきじん	1923	1923	6828	今帰仁
こんご	1923	1923	5824	今後
こんごう	1923	1923	8604	近郷
